iter	RMSE
0	0.9931244646
1	0.9772683354
2	0.9614917045
3	0.9481086772
4	0.9315438698
5	0.9159466199
6	0.9006954081
7	0.886828781
8	0.8745765081
9	0.8597309572
10	0.8465335068
11	0.8354885239
12	0.8226005496
13	0.812593629
14	0.8020063024
15	0.7901966137
16	0.7760471575
17	0.7647658737
18	0.7527816034
19	0.742728493
20	0.7337392904
21	0.7222457064
22	0.7133974796
23	0.7027149679
24	0.6921019709
25	0.6824054098
26	0.6723361163
27	0.6638415008
28	0.6549407724
29	0.6466837857
30	0.6387646509
31	0.6301127412
32	0.6223450452
33	0.6141169761
34	0.6074930026
35	0.6007238385
36	0.5932911557
37	0.587085255
38	0.5798770086
39	0.5717738179
40	0.5652837071
41	0.5588628592
42	0.5516335247
43	0.5455541666
44	0.5396886155
45	0.5324757083
46	0.5267993716
47	0.5209079584
48	0.5156989235
49	0.5104481384
50	0.504412535
51	0.4992007092
52	0.4942160725
53	0.4890816247
54	0.4844782828
55	0.4796403117
56	0.4744121272
57	0.4702101145
58	0.465347163
59	0.4611827604
60	0.4574089769
61	0.4532358384
62	0.4495147473
63	0.4452893617
64	0.441186164
65	0.4378586565
66	0.4338818858
67	0.4299430418
68	0.4276791922
69	0.4236725569
70	0.4198058718
71	0.4168034389
72	0.4132148266
73	0.4106834154
74	0.4076539744
75	0.4045288635
76	0.4012082866
77	0.3975354318
78	0.394469733
79	0.3913798477
80	0.3891608606
81	0.3868065449
82	0.3844729081
83	0.3814444278
84	0.3787242955
85	0.3767426703
86	0.3742763993
87	0.3718749921
88	0.3697170436
89	0.3670790822
90	0.3646717111
91	0.3627096204
92	0.3602827776
93	0.3576241
94	0.3555367823
95	0.3536021897
96	0.3518200639
97	0.3499440668
98	0.3483668031
99	0.3459978903
100	0.3438308207
101	0.3419602021
102	0.3402905937
103	0.3385138532
104	0.3369818843
105	0.3354766348
106	0.3340579166
107	0.3326004892
108	0.3308959819
109	0.3295491357
110	0.3277245332
111	0.3263090014
112	0.3247964168
113	0.3232234626
114	0.3211120853
115	0.3194729465
116	0.3181919015
117	0.3171151078
118	0.3158347295
119	0.3146867871
120	0.3135854086
121	0.3119518972
122	0.3108416927
123	0.3095424244
124	0.3079368824
125	0.30606974
126	0.3050350201
127	0.3037672306
128	0.3023499248
129	0.3012369418
130	0.3000793765
131	0.2987255921
132	0.2970477091
133	0.2961690173
134	0.2950325043
135	0.2936963544
136	0.2926886578
137	0.291683698
138	0.2900802241
139	0.2890802598
140	0.2879267591
141	0.2869342862
142	0.2859840513
143	0.2845020259
144	0.2835786258
145	0.2826748185
146	0.2816056326
147	0.2806312122
148	0.2796388184
149	0.2784725798
150	0.2773297399
151	0.2763670419
152	0.2753526396
153	0.2743299553
154	0.2734131418
155	0.2723374096
156	0.2714709457
157	0.2707691054
158	0.2697825274
159	0.2689135006
160	0.2679370988
161	0.2671892923
162	0.2664628564
163	0.2656175712
164	0.2650004501
165	0.2646176607
166	0.2638923513
167	0.2627648747
168	0.261942857
169	0.2611090734
170	0.2601029955
171	0.2595442322
172	0.2586469045
173	0.2577961604
174	0.2570403291
175	0.2559940402
176	0.2550696261
177	0.2541453456
178	0.2533268851
179	0.2521166844
180	0.2513853494
181	0.2505289662
182	0.249395216
183	0.2483910141
184	0.247651995
185	0.2469848909
186	0.24613315
187	0.2451937543
188	0.2442509072
189	0.243685708
190	0.2429359624
191	0.2421746014
192	0.2416660154
193	0.2406770737
194	0.2400557617
195	0.2390817529
196	0.2384947737
197	0.2373631335
198	0.2364682382
199	0.2359405987
200	0.2354176563
201	0.2343466227
202	0.2335672201
203	0.2331933455
204	0.2324196861
205	0.2319382027
206	0.2311861714
207	0.230483657
208	0.229983831
209	0.2291969063
210	0.2284909338
211	0.2278145102
212	0.226971441
213	0.2261685423
214	0.2256539135
215	0.2249972642
216	0.2242027699
217	0.2231478792
218	0.2225142566
219	0.2220082076
220	0.2215352149
221	0.2205971019
222	0.2199693953
223	0.2192798894
224	0.2185937393
225	0.2176915811
226	0.2169022087
227	0.216304632
228	0.2156156264
229	0.2148174862
230	0.2144684558
231	0.2134236555
232	0.2126895836
233	0.2121536415
234	0.211394462
235	0.2108219642
236	0.2103716881
237	0.209748602
238	0.2091127876
239	0.2085027917
240	0.2079719332
241	0.2073142048
242	0.206700754
243	0.206183837
244	0.2056299677
245	0.2050591467
246	0.2045323537
247	0.204066439
248	0.2036299236
249	0.203156424
250	0.2027340014
251	0.2023333766
252	0.2017142363
253	0.2011669367
254	0.2008767414
255	0.2002429557
256	0.199696996
257	0.1991396316
258	0.1985126625
259	0.1981257146
260	0.1975496995
261	0.196839891
262	0.1962513266
263	0.1955406912
264	0.1950180186
265	0.1945766982
266	0.1940452476
267	0.1934316881
268	0.1929438176
269	0.1924725842
270	0.1922835557
271	0.1917548751
272	0.1911342243
273	0.1908747966
274	0.1902826505
275	0.1895987725
276	0.189089671
277	0.1885467517
278	0.1883757849
279	0.1879158662
280	0.1876766964
281	0.1872210054
282	0.1867979436
283	0.1863019673
284	0.1856437099
285	0.1851638252
286	0.1847070504
287	0.1845422877
288	0.1841308939
289	0.1836850525
290	0.183263404
291	0.18281516
292	0.1824185481
293	0.1819931127
294	0.1815763714
295	0.1811681375
296	0.1807745906
297	0.1803814673
298	0.1798357649
299	0.1794559574
300	0.1790687008
301	0.1786956916
302	0.1781338982
303	0.1777732306
304	0.177459625
305	0.1769137198
306	0.1764907569
307	0.1758105953
308	0.1753864295
309	0.174800381
310	0.1745233435
311	0.1741499899
312	0.1736525701
313	0.1727906403
314	0.1724436359
315	0.1720308725
316	0.1716937078
317	0.1712836608
318	0.1703888206
319	0.1696208908
320	0.1688751138
321	0.168443848
322	0.1680517352
