iter	Passed	Remaining
0	0	871
1	1	815
2	2	739
3	2	688
4	3	671
5	3	657
6	5	787
7	7	929
8	8	921
9	9	953
10	10	935
11	11	906
12	11	880
13	12	859
14	12	838
15	13	817
16	14	810
17	14	811
18	16	832
19	17	843
20	17	836
21	18	811
22	18	803
23	19	807
24	20	801
25	22	847
26	23	846
27	24	850
28	25	839
29	25	831
30	27	845
31	27	841
32	28	830
33	29	826
34	30	851
35	31	848
36	35	914
37	36	912
38	36	907
39	37	902
40	39	912
41	39	909
42	40	904
43	41	907
44	42	906
45	42	891
46	43	889
47	44	888
48	45	889
49	46	881
50	46	874
51	47	866
52	48	860
53	49	861
54	49	856
55	50	855
56	51	846
57	51	839
58	52	833
59	52	827
60	53	821
61	53	815
62	54	805
63	54	798
64	55	793
65	55	788
66	56	783
67	56	781
68	57	777
69	58	775
70	59	774
71	59	769
72	60	764
73	60	756
74	60	752
75	61	748
76	62	744
77	62	740
78	63	735
79	63	731
80	63	724
81	64	721
82	64	717
83	65	713
84	66	710
85	66	707
86	66	702
87	67	696
88	67	693
89	68	690
90	68	687
91	69	684
92	70	682
93	70	681
94	71	680
95	72	681
96	73	680
97	73	678
98	74	678
99	75	676
100	75	674
101	76	672
102	77	671
103	77	669
104	78	666
105	78	662
106	79	660
107	79	658
108	80	655
109	80	653
110	81	650
111	81	648
112	82	645
113	82	643
114	83	640
115	84	640
116	84	639
117	85	637
118	85	635
119	86	634
120	86	631
121	87	629
122	87	626
123	88	624
124	88	621
125	89	619
126	89	616
127	90	614
128	90	612
129	91	610
130	91	608
131	92	606
132	92	603
133	93	601
134	93	599
135	93	597
136	94	595
137	94	592
138	95	590
139	95	588
140	96	586
141	96	585
142	97	584
143	98	583
144	98	582
145	99	581
146	100	581
147	100	580
148	101	578
149	101	576
150	102	574
151	102	572
152	103	570
153	103	568
154	104	567
155	104	565
156	104	563
157	105	561
158	105	559
159	106	558
160	106	556
161	107	554
162	107	552
163	108	551
164	108	549
165	109	548
166	109	546
167	110	544
168	110	544
169	111	542
170	111	541
171	112	539
172	112	538
173	112	536
174	113	534
175	114	534
176	114	532
177	114	531
178	115	529
179	115	528
180	116	526
181	116	525
182	117	523
183	117	522
184	118	520
185	118	519
186	119	517
187	119	516
188	119	514
189	120	513
190	120	512
191	121	510
192	121	509
193	122	508
194	122	506
195	123	505
196	123	504
197	124	503
198	124	502
199	125	500
200	125	499
201	126	498
202	126	497
203	127	495
204	127	494
205	128	493
206	128	492
207	128	491
208	129	489
209	129	488
210	130	487
211	130	486
212	131	484
213	131	483
214	132	482
215	132	481
216	133	480
217	133	479
218	134	477
219	134	476
220	134	475
221	135	474
222	135	473
223	136	473
224	137	472
225	137	471
226	138	470
227	138	468
228	138	467
229	139	466
230	139	465
231	140	464
232	140	463
233	141	462
234	141	461
235	142	460
236	142	459
237	143	458
238	143	457
239	143	455
240	144	454
241	144	453
242	145	452
243	145	451
244	146	450
245	146	449
246	147	448
247	147	447
248	148	447
249	148	446
250	149	445
251	149	444
252	150	443
253	150	442
254	151	441
255	151	440
256	152	440
257	152	439
258	153	438
259	153	437
260	154	436
261	154	435
262	154	434
263	155	433
264	155	432
265	156	431
266	156	430
267	157	429
268	157	428
269	158	427
270	158	426
271	159	425
272	159	424
273	160	424
274	160	423
275	160	422
276	161	421
277	161	420
278	162	419
279	163	419
280	163	418
281	163	417
282	164	416
283	164	415
284	165	414
285	165	414
286	166	413
287	166	412
288	167	411
289	167	410
290	168	409
291	168	408
292	169	407
293	169	407
294	170	406
295	170	405
296	170	404
297	171	403
298	171	402
299	172	402
300	172	401
301	173	400
302	173	399
303	174	398
304	174	397
305	175	397
306	175	396
307	175	395
308	176	395
309	177	394
310	177	394
311	178	393
312	178	392
313	179	391
314	179	390
315	180	390
316	180	389
317	181	388
318	181	387
319	181	386
320	182	386
321	182	385
322	183	384
323	183	383
324	184	382
325	184	382
326	185	381
327	185	380
328	186	379
329	186	378
330	187	378
331	187	377
332	188	376
333	188	375
334	188	375
335	189	374
336	190	374
337	191	374
338	191	373
339	192	372
340	192	372
341	193	371
342	193	371
343	194	370
344	194	369
345	195	368
346	195	368
347	196	367
348	196	366
349	197	365
350	197	365
351	197	364
352	198	363
353	198	362
354	199	362
355	199	361
356	200	360
357	200	359
358	201	359
359	201	358
360	202	357
361	202	357
362	203	356
363	203	356
364	204	356
365	205	355
366	206	355
367	206	354
368	207	354
369	207	353
370	207	352
371	208	351
372	208	350
373	209	350
374	209	349
375	210	348
376	210	347
377	211	347
378	211	346
379	212	346
380	212	345
381	213	344
382	213	344
383	214	343
384	214	342
385	215	342
386	216	343
387	218	344
388	219	344
389	220	344
390	221	344
391	222	344
392	222	344
393	223	343
394	224	343
395	224	342
396	224	341
397	225	340
398	225	339
399	226	339
400	226	338
401	227	337
402	227	337
403	228	336
404	228	335
405	229	335
406	229	334
407	230	333
408	230	333
409	231	332
410	231	332
411	232	331
412	232	330
413	233	330
414	234	330
415	234	329
416	235	329
417	236	328
418	236	328
419	237	327
420	238	327
421	238	326
422	239	326
423	239	325
424	240	325
425	240	324
426	241	324
427	242	324
428	243	324
429	244	323
430	244	322
431	245	322
432	245	321
433	246	321
434	246	320
435	247	319
436	247	319
437	248	318
438	248	317
439	249	317
440	249	316
441	250	316
442	250	315
443	251	314
444	251	314
445	252	313
446	252	312
447	253	312
448	254	312
449	255	311
450	255	311
451	256	311
452	257	310
453	258	310
454	258	310
455	259	309
456	259	308
457	260	308
458	260	307
459	261	306
460	262	306
461	262	305
462	263	305
463	263	304
464	264	303
465	264	303
466	265	302
467	265	302
468	266	301
469	266	300
470	267	300
471	268	299
472	268	299
473	269	298
474	270	298
475	270	297
476	271	297
477	272	297
478	272	296
479	273	295
480	273	295
481	274	294
482	274	294
483	275	293
484	275	292
485	276	292
486	276	291
487	277	291
488	277	290
489	278	289
490	278	289
491	279	288
492	279	287
493	280	287
494	280	286
495	282	286
496	282	286
497	283	286
498	284	285
499	284	284
500	285	284
501	286	284
502	286	283
503	287	282
504	287	282
505	288	281
506	289	281
507	289	280
508	290	279
509	290	279
510	291	278
511	291	278
512	292	277
513	292	277
514	293	276
515	294	275
516	294	275
517	295	274
518	295	274
519	297	274
520	298	273
521	298	273
522	299	273
523	299	272
524	300	272
525	301	271
526	301	270
527	302	270
528	302	269
529	303	268
530	303	268
531	304	267
532	304	266
533	305	266
534	305	265
535	306	265
536	306	264
537	307	263
538	307	263
539	308	262
540	308	261
541	309	261
542	310	260
543	310	260
544	311	260
545	311	259
546	312	258
547	313	258
548	313	257
549	314	257
550	314	256
551	315	255
552	315	255
553	316	254
554	316	254
555	317	253
556	317	252
557	318	252
558	318	251
559	319	250
560	319	250
561	320	249
562	320	249
563	321	248
564	321	247
565	322	247
566	323	246
567	323	246
568	324	246
569	325	245
570	325	244
571	326	244
572	326	243
573	327	242
574	327	242
575	328	241
576	328	241
577	329	240
578	330	239
579	330	239
580	331	238
581	331	238
582	332	237
583	332	237
584	333	236
585	333	235
586	334	235
587	334	234
588	335	233
589	335	233
590	336	232
591	337	232
592	337	231
593	338	231
594	339	231
595	340	230
596	341	230
597	341	229
598	342	229
599	343	228
600	343	228
601	344	227
602	344	227
603	345	226
604	346	226
605	346	225
606	347	224
607	348	224
608	348	223
609	349	223
610	350	222
611	350	222
612	351	221
613	351	221
614	352	220
615	353	220
616	353	219
617	354	218
618	354	218
619	355	217
620	355	217
621	356	216
622	356	215
623	357	215
624	357	214
625	358	214
626	358	213
627	359	212
628	359	212
629	360	211
630	360	211
631	361	210
632	361	209
633	362	209
634	363	208
635	363	208
636	364	207
637	364	206
638	365	206
639	365	205
640	366	205
641	366	204
642	367	204
643	368	203
644	368	202
645	369	202
646	369	201
647	370	201
648	370	200
649	371	199
650	371	199
651	372	198
652	372	198
653	373	197
654	374	197
655	375	196
656	375	196
657	376	195
658	377	195
659	377	194
660	378	194
661	379	193
662	379	192
663	380	192
664	380	191
665	381	191
666	382	190
667	382	190
668	383	189
669	383	188
670	384	188
671	384	187
672	385	187
673	385	186
674	386	185
675	386	185
676	387	184
677	387	184
678	388	183
679	388	182
680	389	182
681	390	181
682	390	181
683	391	180
684	391	180
685	392	179
686	392	178
687	393	178
688	393	177
689	394	177
690	395	176
691	395	176
692	396	175
693	396	175
694	397	174
695	397	173
696	398	173
697	399	172
698	399	172
699	399	171
700	400	170
701	400	170
702	401	169
703	402	169
704	402	168
705	403	167
706	403	167
707	404	166
708	404	166
709	405	165
710	405	165
711	406	164
712	407	163
713	407	163
714	408	162
715	409	162
716	409	161
717	410	161
718	410	160
719	411	159
720	411	159
721	412	158
722	412	158
723	413	157
724	413	157
725	414	156
726	414	155
727	415	155
728	416	154
729	416	154
730	417	153
731	417	152
732	418	152
733	418	151
734	419	151
735	419	150
736	420	149
737	420	149
738	421	148
739	421	148
740	422	147
741	422	146
742	423	146
743	423	145
744	424	145
745	424	144
746	425	144
747	425	143
748	426	142
749	426	142
750	427	141
751	427	140
752	428	140
753	428	139
754	428	139
755	429	138
756	429	137
757	430	137
758	430	136
759	431	136
760	431	135
761	432	135
762	432	134
763	433	133
764	433	133
765	434	132
766	434	132
767	435	131
768	435	130
769	436	130
770	436	129
771	437	129
772	437	128
773	438	127
774	438	127
775	438	126
776	439	126
777	439	125
